name,position,years,pro_bowls,draft_round,franchises,franchise_count
Dorsey Levens,RB,1999-2004,1,5,Packers -> Eagles -> Giants -> Eagles,3
Doug Flutie,QB,1999-2005,1,11,Bills -> Chargers -> Patriots,3
Dre Kirkpatrick,DB,2012-2021,0,1,Bengals -> Cardinals -> 49ers,3
Dre' Bly,CB,1999-2009,2,2,Rams -> Lions -> Broncos -> 49ers,4
Drew Bledsoe,QB,1999-2006,4,1,Patriots -> Bills -> Cowboys,3
Duane Brown,OL,2008-2023,5,1,Texans -> Seahawks -> Jets,3
Duane Clemons,DE,1999-2005,0,1,Vikings -> Chiefs -> Bengals,3
Duane Starks,CB,1999-2006,0,1,Ravens -> Cardinals -> Patriots -> Raiders,4
Dunta Robinson,CB,2004-2013,0,1,Texans -> Falcons -> Chiefs,3
Dustin Colquitt,P,2005-2021,2,3,Chiefs -> Steelers -> Jaguars -> Falcons -> Browns,5
Dwayne Harris,WR,2011-2020,1,6,Cowboys -> Giants -> Raiders -> Bears,4
Dwayne Rudd,OLB,1999-2003,0,1,Vikings -> Browns -> Buccaneers,3
Dwight Freeney,DL,2002-2017,7,1,Colts -> Chargers -> Cardinals -> Falcons -> Seahawks -> Lions,6
Ebenezer Ekuban,DE,1999-2008,0,1,Cowboys -> Browns -> Broncos,3
Ed Reed,FS,2002-2013,9,1,Ravens -> Texans -> Jets,3
Eddie Jackson,DB,2017-2024,2,4,Bears -> Ravens -> Chargers,3
Eddie Kennison,WR,1999-2007,0,1,Saints -> Bears -> Chiefs,3
Eli Apple,DB,2016-2025,0,1,Giants -> Saints -> Panthers -> Bengals -> Dolphins -> Chargers -> 49ers,7
Ellis Johnson,NT,1999-2004,0,1,Colts -> Falcons -> Broncos,3
Elvis Dumervil,DL,2006-2017,5,4,Broncos -> Ravens -> 49ers,3
Emmanuel Sanders,WR,2010-2021,2,3,Steelers -> Broncos -> 49ers -> Saints -> Bills,5
Ereck Flowers,OL,2015-2021,0,1,Giants -> Jaguars -> Commanders -> Dolphins -> Commanders,4
Eric Davis,CB,1999-2002,2,2,Panthers -> Broncos -> Lions,3
Eric Ebron,TE,2014-2021,1,1,Lions -> Colts -> Steelers,3
Eric Fisher,OL,2013-2022,2,1,Chiefs -> Colts -> Dolphins,3
Eric Kendricks,LB,2015-2025,1,2,Vikings -> Chargers -> Cowboys -> 49ers,4
Eric Metcalf,WR,1999-2002,3,1,Panthers -> Commanders -> Packers,3
Eric Moulds,WR,1999-2007,3,1,Bills -> Texans -> Titans,3
Eric Weddle,DB,2007-2021,6,2,Chargers -> Ravens -> Rams,3
Erik Flowers,DE,2000-2004,0,1,Bills -> Texans -> Steelers -> Rams,4
